 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
 0 B 3 ,  0 1172, -1, 
